                 SFR              median_Lx            expected_Lx              perc25_Lx              perc75_Lx              perc10_Lx              perc20_Lx              perc30_Lx              perc40_Lx              perc50_Lx              perc60_Lx              perc70_Lx              perc80_Lx              perc90_Lx
        1.000000e+00           2.201425e+01           1.735053e+01           4.629413e+00           3.361952e+01           0.000000e+00           0.000000e+00           7.347373e+00           8.498643e+00           1.735053e+01           2.390343e+01           3.001380e+01           3.804742e+01           5.141322e+01
        1.059254e+00           2.331868e+01           1.932514e+01           6.202812e+00           3.508927e+01           0.000000e+00           0.000000e+00           7.873597e+00           9.658761e+00           1.932514e+01           2.488781e+01           3.146356e+01           4.000112e+01           5.367784e+01
        1.122018e+00           2.470039e+01           2.096494e+01           7.042172e+00           3.707224e+01           0.000000e+00           2.111561e+00           7.941251e+00           1.419462e+01           2.096494e+01           2.712930e+01           3.334969e+01           4.232253e+01           5.695801e+01
        1.188502e+00           2.616398e+01           2.193797e+01           7.881087e+00           3.955712e+01           0.000000e+00           6.319880e+00           8.182794e+00           1.558114e+01           2.193797e+01           2.828326e+01           3.493115e+01           4.472389e+01           5.911754e+01
        1.258925e+00           2.771430e+01           2.393788e+01           7.924477e+00           4.120975e+01           0.000000e+00           6.968290e+00           8.391006e+00           1.666808e+01           2.393788e+01           3.000365e+01           3.686637e+01           4.677838e+01           6.107132e+01
        1.333521e+00           2.935647e+01           2.545338e+01           7.967757e+00           4.336384e+01           0.000000e+00           7.066820e+00           8.716825e+00           1.870102e+01           2.545338e+01           3.129861e+01           3.860235e+01           4.883498e+01           6.427879e+01
        1.412538e+00           3.109595e+01           2.759136e+01           8.318779e+00           4.639221e+01           0.000000e+00           7.891817e+00           1.380903e+01           2.082720e+01           2.759136e+01           3.383748e+01           4.132585e+01           5.156630e+01           6.617751e+01
        1.496236e+00           3.293850e+01           2.860055e+01           9.133981e+00           4.840585e+01           0.000000e+00           7.957261e+00           1.523857e+01           2.238868e+01           2.860055e+01           3.496932e+01           4.328569e+01           5.375667e+01           6.890039e+01
        1.584893e+00           3.489023e+01           3.019455e+01           1.334498e+01           5.050513e+01           0.000000e+00           8.190345e+00           1.626090e+01           2.373000e+01           3.019455e+01           3.712887e+01           4.585103e+01           5.599988e+01           7.191653e+01
        1.678804e+00           3.695761e+01           3.187585e+01           1.534722e+01           5.345385e+01           3.669168e+00           8.555001e+00           1.931677e+01           2.593011e+01           3.187585e+01           3.930523e+01           4.829324e+01           5.873745e+01           7.477896e+01
        1.778279e+00           3.914749e+01           3.480939e+01           1.637932e+01           5.637208e+01           6.404214e+00           1.250760e+01           2.152786e+01           2.803341e+01           3.480939e+01           4.214947e+01           5.107530e+01           6.220173e+01           7.812973e+01
        1.883649e+00           4.146712e+01           3.664295e+01           1.762346e+01           5.959450e+01           7.041082e+00           1.464992e+01           2.227515e+01           2.960663e+01           3.664295e+01           4.478504e+01           5.416023e+01           6.592128e+01           8.230663e+01
